ticker,title,event_ticker,event_title,category,close_time,strike_date,days_to_expiry,yes_bid,no_bid,yes_ask,no_ask,yes_price,no_price,total_price,edge,opportunity_type,capital_required,profit,roi_percent,annualized_roi_percent,min_spread,liquidity_score
KXGRAMMYWINNERS-67BNAXXROTYXXSOTY-CRXXTHEXXBOAF,"Will Chappell Roan,Texas Hold 'Em,Birds of a Feather win Best New Artist,Record of the Year,Song of the Year at the Grammys?",KXGRAMMYWINNERS-67BNAXXROTYXXSOTY,,,2025-12-31T15:00:00Z,,62,0.99,0.61,0.39,0.01,0.69,0.31,1.6,-0.6000000000000001,sell_both,160.0,60.00000000000001,37.50000000000001,220.7661290322581,-0.6,36.86915756425187
HOUSEPA10-26-R,Will Republican win the House race for PA-10?,HOUSEPA10-26,,,2027-11-03T15:00:00Z,,734,0.99,0.82,0.18,0.01,0.585,0.415,0.19,0.81,buy_both,19.0,81.0,426.3157894736843,211.9962713322817,-0.81,46.9543039572249
KXPRESTURKEYR1-28-RTAY,Who will win the first round of the next Turkish presidential election?,KXPRESTURKEYR1-28,,,2029-05-07T14:00:00Z,,1285,0.89,0.99,0.01,0.11,0.45,0.55,0.12,0.88,buy_both,12.0,88.0,733.3333333333333,208.30090791180282,-0.88,51.01971532647549
KXNFLEXACTWINSLAC-25-6,Will the Los Angeles C pro football team win exactly 6 times this season?,KXNFLEXACTWINSLAC-25,,,2026-01-15T15:00:00Z,,77,0.65,0.99,0.01,0.35,0.33,0.6699999999999999,1.6400000000000001,-0.6400000000000001,sell_both,164.0,64.00000000000001,39.024390243902445,184.98574596135578,-0.64,38.94428650152183
KXSECSTATEGA-26-D,Will the Democratic party win the Secretary of State election in Georgia?,KXSECSTATEGA-26,,,2027-11-03T15:00:00Z,,734,0.79,0.99,0.01,0.21,0.4,0.6,0.22,0.78,buy_both,22.0,78.0,354.54545454545456,176.3066633638841,-0.78,45.072730161783475
KXNCAAMBPS-25FING1-NCAT,Will North Carolina A&T make it to the Championship game?,KXNCAAMBPS-25FING1,,,2027-04-08T03:59:00Z,,525,0.99,0.7,0.3,0.01,0.645,0.355,0.31,0.69,buy_both,31.0,69.0,222.5806451612903,154.74654377880182,-0.69,41.251927509915866
KXMINCORPTAX-25-NO,Will the minimum corporate tax be repealed this year?,KXMINCORPTAX-25,,,2025-12-31T15:00:00Z,,62,0.36,0.99,0.01,0.64,0.185,0.815,1.35,-0.3500000000000001,sell_both,135.0,35.00000000000001,25.92592592592593,152.62843488649943,-0.35,24.33779759494891
KXJBEARDOC-2025-GL,2025 James Beard Award for Outstanding Chef?,KXJBEARDOC-2025,,,2025-12-31T15:00:00Z,,62,0.34,0.99,0.01,0.66,0.17500000000000002,0.825,1.33,-0.33000000000000007,sell_both,133.0,33.00000000000001,24.812030075187973,146.07082221683243,-0.33,23.40702648120051
KXOSCARNOMPIC-25-M17,2025 Best Picture Oscar nominations?,KXOSCARNOMPIC-25,,,2025-12-31T15:00:00Z,,62,0.99,0.34,0.66,0.01,0.825,0.17500000000000002,1.33,-0.33000000000000007,sell_both,133.0,33.00000000000001,24.812030075187973,146.07082221683243,-0.33,23.635942414954112
KXNCAAMBIG12-25-HOU,Will the Houston win the Men's Big 12 Basketball Tournament?,KXNCAAMBIG12-25,,,2027-03-16T14:00:00Z,,502,0.62,0.99,0.01,0.38,0.315,0.685,0.39,0.61,buy_both,39.0,61.0,156.4102564102564,113.72458882419042,-0.61,37.589437723407904
HOUSENY22-26-R,Will a Republican win the House race for NY-22?,HOUSENY22-26,,,2027-11-03T15:00:00Z,,734,0.99,0.7,0.3,0.01,0.645,0.355,0.31,0.69,buy_both,31.0,69.0,222.5806451612903,110.6838358090885,-0.69,41.511218536111876
KXNCAAMBPS-25S16G1-CAMU,Will Cameron make it to the Sweet 16?,KXNCAAMBPS-25S16G1,,,2027-03-29T03:59:00Z,,515,0.59,0.99,0.01,0.41,0.3,0.7,0.42,0.5800000000000001,buy_both,42.0,58.00000000000001,138.0952380952381,97.87332408691633,-0.5800000000000001,35.70858128281917
KXNCAAMBPS-25FING1-URSC,Will Ursuline make it to the Championship game?,KXNCAAMBPS-25FING1,,,2027-04-08T03:59:00Z,,525,0.46,0.99,0.01,0.54,0.23500000000000001,0.765,0.55,0.44999999999999996,buy_both,55.00000000000001,44.99999999999999,81.81818181818178,56.883116883116855,-0.45,29.287875834614923
KXATTYGENMN-26-D,Will the Democratic party win the Attorney General race in Minnesota?,KXATTYGENMN-26,,,2027-11-03T15:00:00Z,,734,0.54,0.99,0.01,0.46,0.275,0.725,0.47000000000000003,0.53,buy_both,47.0,53.0,112.7659574468085,56.07571453417589,-0.53,32.9881196188479
KXGOVMINOMR-26-PJ,Wil Perry Johnson be the Republican nominee for Governor in Michigan?,KXGOVMINOMR-26,,,2026-11-03T15:00:00Z,,369,0.84,0.99,0.01,0.16,0.425,0.575,1.83,-0.8300000000000001,sell_both,183.0,83.0,45.3551912568306,44.86353606705466,-0.83,48.39888124957829
KXFTCNEXT-27-TSLA,Who will the FTC go after next?,KXFTCNEXT-27,,,2027-01-01T15:00:00Z,,428,0.67,0.99,0.01,0.33,0.34,0.66,1.6600000000000001,-0.6600000000000001,sell_both,166.0,66.00000000000001,39.75903614457832,33.90665465600721,-0.66,40.15418197931373
KXSLOVAKIAPARLI-27-PS,Who will win the next Slovak parliamentary election?,KXSLOVAKIAPARLI-27,,,2028-09-29T14:00:00Z,,1065,0.99,0.49,0.51,0.01,0.75,0.25,0.52,0.48,buy_both,52.0,48.0,92.3076923076923,31.635969664138678,-0.48,30.586584381619836
KXNCAAMBRS-25B26ARKTEX-ARK,Will Arkansas win the match?,KXNCAAMBRS-25B26ARKTEX,,,2027-02-27T02:00:00Z,,484,0.99,0.63,0.37,0.01,0.6799999999999999,0.32,1.62,-0.6200000000000001,sell_both,162.0,62.000000000000014,38.271604938271615,28.86185083154781,-0.62,37.82119466285183
KXNCAAMBPS-25S16G9-LBSU,Will Long Beach State make it to the Sweet 16?,KXNCAAMBPS-25S16G9,,,2027-03-29T03:59:00Z,,515,0.63,0.99,0.01,0.37,0.32,0.6799999999999999,1.62,-0.6200000000000001,sell_both,162.0,62.000000000000014,38.271604938271615,27.124535538775028,-0.62,37.860510682581534
GOVPARTYHI-26-D,Will the Democratic party win the governorship in Hawaii,GOVPARTYHI-26,,,2027-11-03T15:00:00Z,,734,0.9,0.99,0.01,0.1,0.455,0.545,1.8900000000000001,-0.8900000000000001,sell_both,189.0,89.00000000000001,47.089947089947096,23.416663062439632,-0.89,51.76263121166486
KXNCAAMBRS-25B25MIZZSCAR-MIZZ,Will Missouri win the match?,KXNCAAMBRS-25B25MIZZSCAR,,,2027-02-26T02:00:00Z,,483,0.36,0.99,0.01,0.64,0.185,0.815,1.35,-0.3500000000000001,sell_both,135.0,35.00000000000001,25.92592592592593,19.592055823939884,-0.35,24.36975934280324
